team_name,player_name
Afghanistan,Hashmatullah Shahidi
Afghanistan,Rahmanullah Gurbaz
Afghanistan,Ibrahim Zadran
Afghanistan,Reyaz Hassan
Afghanistan,Rahmat Shah Zurmati
Afghanistan,Najibullah Zadran
Afghanistan,Mohammad Nabi Eisakhil
Afghanistan,Ikram Ali Khil
Afghanistan,Azmatullah Omarzai
Afghanistan,Rashid Khan Arman
Afghanistan,Mujeeb ur Rahman
Afghanistan,Noor Ahmad Lakanwal
Afghanistan,Fazalhaq Farooqi
Afghanistan,Abdul Rahman Rahmani
Afghanistan,Naveen ul Haq Murid
Australia,Pat Cummins
Australia,Steve Smith
Australia,Alex Carey
Australia,Josh Inglis
Australia,Sean Abbott
Australia,Cameron Green
Australia,Josh Hazlewood
Australia,Travis Head
Australia,Marnus Labuschagne
Australia,Mitch Marsh
Australia,Glenn Maxwell
Australia,Marcus Stoinis
Australia,David Warner
Australia,Adam Zampa
Australia,Mitchell Starc
Bangladesh,Shakib Al Hasan
Bangladesh,Litton Kumer Das
Bangladesh,Tanzid Hasan Tamim
Bangladesh,Najmul Hossain Shanto
Bangladesh,Tawhid Hridoy
Bangladesh,Mushfiqur Rahim
Bangladesh,Mahmudullah Riyad
Bangladesh,Mehidy Hasan Miraz
Bangladesh,Nasum Ahmed
Bangladesh,Shak Mahedi Hasan
Bangladesh,Taskin Ahmed
Bangladesh,Mustafizur Rahman
Bangladesh,Hasan Mahmud
Bangladesh,Shoriful Islam
Bangladesh,Tanzim Hasan Sakib
England,Jos Buttler
England,Moeen Ali
England,Gus Atkinson
England,Jonny Bairstow
England,Harry Brook
England,Sam Curran
England,Liam Livingstone
England,Dawid Malan
England,Adil Rashid
England,Joe Root
England,Ben Stokes
England,Reece Topley
England,David Willey
England,Mark Wood
England,Chris Woakes
India,Rohit Sharma
India,Hardik Pandya
India,Shubman Gill
India,Virat Kohli
India,Shreyas Iyer
India,KL Rahul
India,Ravindra Jadeja
India,Ravichandran Ashwin
India,Shardul Thakur
India,Jasprit Bumrah
India,Mohammed Siraj
India,Kuldeep Yadav
India,Mohammed Shami
India,Ishan Kishan
India,Surya Kumar Yadav
Netherlands,Scott Edwards
Netherlands,Max O'Dowd
Netherlands,Bas de Leede
Netherlands,Vikram Singh
Netherlands,Teja Nidamanuru
Netherlands,Paul van Meekeren
Netherlands,Colin Ackermann
Netherlands,Roelof van der Merwe
Netherlands,Logan van Beek
Netherlands,Aryan Dutt
Netherlands,Ryan Klein
Netherlands,Wesley Barresi
Netherlands,Saqib Zulfiqar
Netherlands,Shariz Ahmad
Netherlands,Sybrand Engelbrecht
New Zealand,Kane Williamson
New Zealand,Trent Boult
New Zealand,Mark Chapman
New Zealand,Devon Conway
New Zealand,Lockie Ferguson
New Zealand,Matt Henry
New Zealand,Tom Latham
New Zealand,Daryl Mitchell
New Zealand,Jimmy Neesham
New Zealand,Glenn Phillips
New Zealand,Rachin Ravindra
New Zealand,Mitch Santner
New Zealand,Ish Sodhi
New Zealand,Tim Southee
New Zealand,Will Young
Pakistan,Babar Azam
Pakistan,Shadab Khan
Pakistan,Fakhar Zaman
Pakistan,Imam-ul-Haq
Pakistan,Abdullah Shafique
Pakistan,Mohammad Rizwan
Pakistan,Saud Shakeel
Pakistan,Iftikhar Ahmed
Pakistan,Salman Ali Agha
Pakistan,Mohammad Nawaz
Pakistan,Usama Mir
Pakistan,Haris Rauf
Pakistan,Hasan Ali
Pakistan,Shaheen Afridi
Pakistan,Mohammad Wasim
South Africa,Temba Bavuma
South Africa,Gerald Coetzee
South Africa,Quinton de Kock
South Africa,Reeza Hendricks
South Africa,Marco Jansen
South Africa,Heinrich Klaasen
South Africa,Andile Phehlukwayo
South Africa,Keshav Maharaj
South Africa,Aiden Markram
South Africa,David Miller
South Africa,Lungi Ngidi
South Africa,Kagiso Rabada
South Africa,Tabraiz Shamsi
South Africa,Rassie van der Dussen
South Africa,Lizaad Williams
Sri Lanka,Dasun Shanaka
Sri Lanka,Kusal Mendis
Sri Lanka,Kusal Perera
Sri Lanka,Pathum Nissanka
Sri Lanka,Dimuth Karunaratne
Sri Lanka,Sadeera Samarawickrama
Sri Lanka,Charith Asalanka
Sri Lanka,Dhananjaya de Silva
Sri Lanka,Dushan Hemantha
Sri Lanka,Maheesh Theekshana
Sri Lanka,Dunith Wellalage
Sri Lanka,Kasun Rajitha
Sri Lanka,Matheesha Pathirana
Sri Lanka,Lahiru Kumara
Sri Lanka,Dilshan Madushanka
