team_name,player_name,player_id
Afghanistan,Hashmatullah Shahidi,440970
Afghanistan,Rahmanullah Gurbaz,974087
Afghanistan,Ibrahim Zadran,921509
Afghanistan,Reyaz Hassan,1061090
Afghanistan,Rahmat Shah Zurmati,533956
Afghanistan,Najibullah Zadran,524049
Afghanistan,Mohammad Nabi Eisakhil,25913
Afghanistan,Ikram Ali Khil,935553
Afghanistan,Azmatullah Omarzai,819429
Afghanistan,Rashid Khan Arman,793463
Afghanistan,Mujeeb ur Rahman,974109
Afghanistan,Noor Ahmad Lakanwal,1182529
Afghanistan,Fazalhaq Farooqi,974175
Afghanistan,Abdul Rahman Rahmani,819507
Afghanistan,Naveen ul Haq Murid,793447
Australia,Pat Cummins,489889
Australia,Steve Smith,7656
Australia,Alex Carey,326434
Australia,Josh Inglis,662235
Australia,Sean Abbott,398666
Australia,Cameron Green,1076713
Australia,Josh Hazlewood,288284
Australia,Travis Head,530011
Australia,Marnus Labuschagne,787987
Australia,Mitch Marsh,272450
Australia,Glenn Maxwell,325026
Australia,Marcus Stoinis,325012
Australia,David Warner,219889
Australia,Adam Zampa,379504
Australia,Mitchell Starc,311592
Bangladesh,Shakib Al Hasan,56143
Bangladesh,Litton Kumer Das,536936
Bangladesh,Tanzid Hasan Tamim,990023
Bangladesh,Najmul Hossain Shanto,629058
Bangladesh,Tawhid Hridoy,990031
Bangladesh,Mushfiqur Rahim,56029
Bangladesh,Mahmudullah Riyad,56025
Bangladesh,Mehidy Hasan Miraz,629063
Bangladesh,Nasum Ahmed,348049
Bangladesh,Shak Mahedi Hasan,833087
Bangladesh,Taskin Ahmed,538506
Bangladesh,Mustafizur Rahman,330902
Bangladesh,Hasan Mahmud,926629
Bangladesh,Shoriful Islam,990039
Bangladesh,Tanzim Hasan Sakib,1139520
England,Jos Buttler,308967
England,Moeen Ali,8917
England,Gus Atkinson,1039481
England,Jonny Bairstow,297433
England,Harry Brook,911707
England,Sam Curran,662973
England,Liam Livingstone,403902
England,Dawid Malan,236489
England,Adil Rashid,244497
England,Joe Root,303669
England,Ben Stokes,311158
England,Reece Topley,461632
England,David Willey,308251
England,Mark Wood,351588
England,Chris Woakes,247235
India,Rohit Sharma,34102
India,Hardik Pandya,625371
India,Shubman Gill,1070173
India,Virat Kohli,253802
India,Shreyas Iyer,642519
India,KL Rahul,422108
India,Ravindra Jadeja,234675
India,Ravichandran Ashwin,26421
India,Shardul Thakur,475281
India,Jasprit Bumrah,625383
India,Mohammed Siraj,940973
India,Kuldeep Yadav,559235
India,Mohammed Shami,481896
India,Ishan Kishan,720471
India,Surya Kumar Yadav,446507
Netherlands,Scott Edwards,1127317
Netherlands,Max O'Dowd,643197
Netherlands,Bas de Leede,1036191
Netherlands,Vikram Singh,35281
Netherlands,Teja Nidamanuru,1129328
Netherlands,Paul van Meekeren,348109
Netherlands,Colin Ackermann,379774
Netherlands,Roelof van der Merwe,47850
Netherlands,Logan van Beek,440522
Netherlands,Aryan Dutt,1195672
Netherlands,Ryan Klein,594996
Netherlands,Wesley Barresi,44407
Netherlands,Saqib Zulfiqar,526481
Netherlands,Shariz Ahmad,1278252
Netherlands,Sybrand Engelbrecht,315035
New Zealand,Kane Williamson,277906
New Zealand,Trent Boult,277912
New Zealand,Mark Chapman,438563
New Zealand,Devon Conway,379140
New Zealand,Lockie Ferguson,493773
New Zealand,Matt Henry,506612
New Zealand,Tom Latham,388802
New Zealand,Daryl Mitchell,381743
New Zealand,Jimmy Neesham,355269
New Zealand,Glenn Phillips,823509
New Zealand,Rachin Ravindra,959767
New Zealand,Mitch Santner,502714
New Zealand,Ish Sodhi,559066
New Zealand,Tim Southee,232364
New Zealand,Will Young,547749
Pakistan,Babar Azam,348144
Pakistan,Shadab Khan,922943
Pakistan,Fakhar Zaman,512191
Pakistan,Imam-ul-Haq,568276
Pakistan,Abdullah Shafique,922941
Pakistan,Mohammad Rizwan,323389
Pakistan,Saud Shakeel,652687
Pakistan,Iftikhar Ahmed,480603
Pakistan,Salman Ali Agha,623977
Pakistan,Mohammad Nawaz,348148
Pakistan,Usama Mir,647667
Pakistan,Haris Rauf,1161606
Pakistan,Hasan Ali,681305
Pakistan,Shaheen Afridi,1072470
Pakistan,Mohammad Wasim,1185538
South Africa,Temba Bavuma,372116
South Africa,Gerald Coetzee,596010
South Africa,Quinton de Kock,379143
South Africa,Reeza Hendricks,269280
South Africa,Marco Jansen,696401
South Africa,Heinrich Klaasen,436757
South Africa,Andile Phehlukwayo,540316
South Africa,Keshav Maharaj,267724
South Africa,Aiden Markram,600498
South Africa,David Miller,321777
South Africa,Lungi Ngidi,542023
South Africa,Kagiso Rabada,550215
South Africa,Tabraiz Shamsi,379145
South Africa,Rassie van der Dussen,337790
South Africa,Lizaad Williams,379887
Sri Lanka,Dasun Shanaka,437316
Sri Lanka,Kusal Mendis,629074
Sri Lanka,Kusal Perera,300631
Sri Lanka,Pathum Nissanka,1028655
Sri Lanka,Dimuth Karunaratne,227772
Sri Lanka,Sadeera Samarawickrama,629076
Sri Lanka,Charith Asalanka,784367
Sri Lanka,Dhananjaya de Silva,465793
Sri Lanka,Dushan Hemantha,721041
Sri Lanka,Maheesh Theekshana,1138316
Sri Lanka,Dunith Wellalage,1152427
Sri Lanka,Kasun Rajitha,499594
Sri Lanka,Matheesha Pathirana,1194795
Sri Lanka,Lahiru Kumara,784375
Sri Lanka,Dilshan Madushanka,793007
